filename,status,volume_rate(%),duration(s),memory(KB)
br03_087.json,partial,88.65,0.002,201
br03_088.json,partial,74.04,0.004,264
br03_089.json,partial,79.13,0.001,148
br03_090.json,partial,83.94,0.001,143
br03_091.json,partial,87.73,0.003,338
br03_092.json,partial,81.47,0.001,164
br03_093.json,partial,79.66,0.001,150
br03_094.json,partial,83.95,0.004,245
br03_095.json,partial,80.82,0.003,298
br03_096.json,partial,82.19,0.007,291
br03_097.json,partial,85.06,0.003,274
br03_098.json,partial,75.87,0.002,181
br03_099.json,partial,78.89,0.002,181
br03_100.json,partial,81.30,0.002,231
br04_001.json,partial,79.03,0.001,187
br04_002.json,partial,83.07,0.002,204
br04_003.json,partial,82.48,0.002,229
br04_004.json,partial,80.62,0.004,264
br04_005.json,partial,82.27,0.002,209
br04_006.json,partial,77.96,0.006,202
br04_007.json,partial,79.58,0.004,214
br04_008.json,partial,76.46,0.002,181
br04_009.json,partial,79.00,0.004,232
br04_010.json,partial,83.23,0.003,204
br04_011.json,partial,80.13,0.003,199
br04_012.json,partial,83.02,0.002,191
br04_013.json,partial,82.30,0.005,266
br04_014.json,partial,85.63,0.002,184
br04_015.json,partial,81.23,0.002,168
br04_016.json,partial,80.59,0.003,199
br04_017.json,partial,86.70,0.001,163
br04_018.json,partial,82.90,0.001,139
br04_019.json,partial,84.43,0.003,223
br04_020.json,partial,85.01,0.004,213
br04_021.json,partial,80.28,0.002,192
br04_022.json,partial,85.23,0.002,177
br04_023.json,partial,86.63,0.001,182
br04_024.json,partial,79.30,0.004,214
br04_025.json,partial,77.04,0.002,209
br04_026.json,partial,84.52,0.004,273
br04_027.json,partial,85.74,0.002,213
br04_028.json,partial,75.79,0.004,274
br04_029.json,partial,82.84,0.003,206
br04_030.json,partial,80.98,0.003,229
br04_031.json,partial,79.61,0.003,244
br04_032.json,partial,75.79,0.004,233
br04_033.json,partial,89.25,0.002,230
br04_034.json,partial,79.81,0.003,209
br04_035.json,partial,83.64,0.004,251
br04_036.json,partial,85.34,0.002,205
br04_037.json,partial,82.68,0.002,200
br04_038.json,partial,79.45,0.001,199
br04_039.json,partial,81.84,0.012,342
br04_040.json,partial,72.42,0.001,160
br04_041.json,partial,85.37,0.001,179
br04_042.json,partial,76.37,0.002,194
br04_043.json,partial,87.76,0.001,162
br04_044.json,partial,77.81,0.002,221
br04_045.json,partial,82.70,0.003,259
br04_046.json,partial,81.63,0.001,178
br04_047.json,partial,80.47,0.003,223
br04_048.json,partial,81.38,0.002,182
br04_049.json,partial,82.63,0.001,191
br04_050.json,partial,85.49,0.004,289
br04_051.json,partial,85.44,0.005,314
br04_052.json,partial,84.93,0.002,248
br04_053.json,partial,84.62,0.001,177
br04_054.json,partial,85.23,0.003,310
br04_055.json,partial,83.66,0.003,237
br04_056.json,partial,81.45,0.010,372
br04_057.json,partial,82.99,0.001,162
br04_058.json,partial,86.16,0.001,198
br04_059.json,partial,80.21,0.009,305
br04_060.json,partial,80.45,0.002,204
br04_061.json,partial,83.93,0.002,210
br04_062.json,partial,84.89,0.003,187
br04_063.json,partial,85.13,0.001,179
br04_064.json,partial,85.06,0.002,193
br04_065.json,partial,85.50,0.003,238
br04_066.json,partial,82.33,0.002,172
br04_067.json,partial,79.23,0.005,277
br04_068.json,partial,83.55,0.001,201
br04_069.json,partial,79.32,0.004,246
br04_070.json,partial,77.40,0.001,191
br04_071.json,partial,80.56,0.003,226
br04_072.json,partial,79.93,0.003,189
br04_073.json,partial,86.73,0.002,207
br04_074.json,partial,81.01,0.001,156
br04_075.json,partial,78.42,0.003,235
br04_076.json,partial,83.63,0.002,188
br04_077.json,partial,79.40,0.007,295
br04_078.json,partial,85.21,0.003,287
br04_079.json,partial,87.03,0.010,370
br04_080.json,partial,77.25,0.002,200
br04_081.json,partial,80.12,0.002,168
br04_082.json,partial,80.46,0.003,259
br04_083.json,partial,79.44,0.002,213
br04_084.json,partial,86.42,0.002,202
br04_085.json,partial,85.60,0.001,229
br04_086.json,partial,80.46,0.003,245
br04_087.json,partial,84.34,0.001,183
br04_088.json,partial,77.13,0.005,277
br04_089.json,partial,83.54,0.001,155
br04_090.json,partial,81.77,0.001,156
br04_091.json,partial,84.69,0.002,212
br04_092.json,partial,85.93,0.001,164
br04_093.json,partial,76.83,0.001,140
br04_094.json,partial,84.75,0.003,219
br04_095.json,partial,77.98,0.003,288
br04_096.json,partial,85.63,0.003,232
br04_097.json,partial,82.67,0.002,246
br04_098.json,partial,82.93,0.002,193
br04_099.json,partial,83.62,0.002,199
br04_100.json,partial,83.42,0.003,247
br05_001.json,partial,82.46,0.001,182
br05_002.json,partial,84.70,0.002,238
br05_003.json,partial,80.33,0.002,223
br05_004.json,partial,84.91,0.003,238
br05_005.json,partial,86.03,0.002,222
br05_006.json,partial,81.64,0.003,236
br05_007.json,partial,79.92,0.002,219
br05_008.json,partial,82.19,0.001,177
br05_009.json,partial,83.94,0.003,219
br05_010.json,partial,85.30,0.002,229
br05_011.json,partial,82.42,0.002,249
br05_012.json,partial,79.62,0.001,179
br05_013.json,partial,83.89,0.008,304
br05_014.json,partial,84.30,0.002,201
br05_015.json,partial,82.08,0.002,179
br05_016.json,partial,81.40,0.002,191
br05_017.json,partial,84.91,0.001,192
br05_018.json,partial,84.08,0.001,154
br05_019.json,partial,84.69,0.003,247
br05_020.json,partial,84.27,0.003,222
br05_021.json,partial,82.36,0.002,214
br05_022.json,partial,86.07,0.002,219
br05_023.json,partial,81.23,0.002,239
br05_024.json,partial,82.48,0.001,194
br05_025.json,partial,74.07,0.003,223
br05_026.json,partial,84.77,0.005,268
br05_027.json,partial,86.42,0.002,205
br05_028.json,partial,76.57,0.005,286
br05_029.json,partial,85.40,0.002,201
br05_030.json,partial,83.96,0.003,215
br05_031.json,partial,79.38,0.003,251
br05_032.json,partial,78.46,0.003,258
br05_033.json,partial,85.63,0.003,229
br05_034.json,partial,82.02,0.001,190
br05_035.json,partial,82.76,0.003,249
br05_036.json,partial,84.46,0.002,194
br05_037.json,partial,83.83,0.002,198
br05_038.json,partial,85.82,0.002,208
br05_039.json,partial,83.97,0.009,304
br05_040.json,partial,79.55,0.001,182
br05_041.json,partial,82.49,0.002,205
