filename,status,volume_rate(%),duration(s),memory(KB)
br02_020.json,partial,85.10,0.002,232
br02_021.json,partial,80.42,0.001,169
br02_022.json,partial,81.41,0.001,205
br02_023.json,partial,67.33,0.001,226
br02_024.json,partial,77.55,0.001,173
br02_025.json,partial,79.05,0.003,297
br02_026.json,partial,84.51,0.003,365
br02_027.json,partial,84.31,0.002,235
br02_028.json,partial,81.62,0.002,237
br02_029.json,partial,84.12,0.003,280
br02_030.json,partial,91.61,0.005,395
br02_031.json,partial,72.09,0.003,279
br02_032.json,partial,84.39,0.002,290
br02_033.json,partial,83.20,0.001,239
br02_034.json,partial,86.52,0.003,338
br02_035.json,partial,86.10,0.003,313
br02_036.json,partial,85.05,0.001,228
br02_037.json,partial,87.00,0.001,215
br02_038.json,partial,87.51,0.002,241
br02_039.json,partial,86.40,0.014,512
br02_040.json,partial,84.61,0.001,203
br02_041.json,partial,84.44,0.001,199
br02_042.json,partial,75.74,0.003,303
br02_043.json,partial,85.13,0.001,217
br02_044.json,partial,71.78,0.002,238
br02_045.json,partial,83.38,0.003,322
br02_046.json,partial,77.27,0.001,197
br02_047.json,partial,78.02,0.003,312
br02_048.json,partial,86.08,0.002,276
br02_049.json,partial,83.91,0.001,201
br02_050.json,partial,86.47,0.003,307
br02_051.json,partial,85.95,0.003,329
br02_052.json,partial,87.92,0.001,226
br02_053.json,partial,88.58,0.002,300
br02_054.json,partial,80.66,0.002,261
br02_055.json,partial,81.25,0.001,243
br02_056.json,partial,86.14,0.005,326
br02_057.json,partial,78.79,0.003,307
br02_058.json,partial,85.23,0.001,218
br02_059.json,partial,72.61,0.008,370
br02_060.json,partial,81.14,0.002,226
br02_061.json,partial,79.72,0.001,163
br02_062.json,partial,74.09,0.002,209
br02_063.json,partial,81.51,0.002,248
br02_064.json,partial,85.14,0.002,241
br02_065.json,partial,89.58,0.005,362
br02_066.json,partial,82.00,0.002,255
br02_067.json,partial,80.65,0.004,351
br02_068.json,partial,88.19,0.003,265
br02_069.json,partial,79.74,0.002,296
br02_070.json,partial,78.84,0.002,249
