filename,volume_rate(%),duration(s),memory(KB)
br03_012.json,81.65,0.001,137
br03_013.json,86.97,0.004,206
br03_014.json,86.77,0.001,138
br03_015.json,77.59,0.001,137
br03_016.json,84.61,0.002,154
br03_017.json,87.00,0.001,125
br03_018.json,81.54,0.001,125
br03_019.json,84.12,0.003,191
br03_020.json,83.17,0.002,163
br03_021.json,80.62,0.001,130
br03_022.json,84.05,0.001,143
br03_023.json,84.55,0.002,159
br03_024.json,84.21,0.001,143
br03_025.json,79.19,0.002,163
br03_026.json,79.63,0.003,180
br03_027.json,86.56,0.001,149
br03_028.json,75.77,0.003,168
br03_029.json,75.78,0.006,203
br03_030.json,83.66,0.003,180
br03_031.json,77.12,0.003,163
br03_032.json,79.48,0.003,167
br03_033.json,88.09,0.002,160
br03_034.json,85.95,0.003,182
br03_035.json,81.92,0.003,172
br03_036.json,90.44,0.001,143
br03_037.json,90.20,0.001,143
br03_038.json,81.60,0.001,137
br03_039.json,83.86,0.010,229
br03_040.json,77.37,0.001,125
br03_041.json,86.08,0.002,151
br03_042.json,79.16,0.002,160
br03_043.json,79.82,0.001,129
br03_044.json,78.64,0.001,167
br03_045.json,84.61,0.003,171
br03_046.json,83.13,0.001,142
br03_047.json,78.45,0.003,171
br03_048.json,84.54,0.001,137
br03_049.json,90.50,0.001,139
br03_050.json,83.56,0.002,163
br03_051.json,83.69,0.003,183
br03_052.json,85.56,0.003,168
br03_053.json,83.55,0.001,135
br03_054.json,83.07,0.004,192
br03_055.json,81.12,0.003,176
br03_056.json,81.46,0.005,215
br03_057.json,84.31,0.001,147
br03_058.json,81.64,0.001,126
br03_059.json,76.95,0.008,218
br03_060.json,78.28,0.002,144
br03_061.json,83.36,0.001,128
br03_062.json,80.69,0.001,145
br03_063.json,84.55,0.002,151
br03_064.json,83.92,0.002,162
br03_065.json,83.34,0.002,166
br03_066.json,84.68,0.001,133
br03_067.json,82.58,0.004,186
br03_068.json,85.36,0.002,148
br03_069.json,78.94,0.003,181
br03_070.json,79.72,0.001,140
br03_071.json,82.32,0.002,160
br03_072.json,82.77,0.002,165
br03_073.json,77.17,0.001,138
br03_074.json,81.24,0.001,144
br03_075.json,79.11,0.002,166
br03_076.json,80.04,0.002,169
br03_077.json,79.27,0.006,208
br03_078.json,81.65,0.003,176
br03_079.json,85.63,0.005,203
br03_080.json,77.91,0.001,144
br03_081.json,81.87,0.001,121
br03_082.json,84.98,0.003,189
br03_083.json,80.81,0.002,166
br03_084.json,80.92,0.001,135
br03_085.json,86.92,0.003,170
br03_086.json,80.31,0.003,176
br03_087.json,85.06,0.001,153
br03_088.json,74.42,0.003,184
br03_089.json,78.38,0.001,128
br03_090.json,82.37,0.001,124
br03_091.json,87.63,0.005,196
br03_092.json,85.33,0.001,133
br03_093.json,81.69,0.001,124
br03_094.json,85.38,0.003,176
br03_095.json,85.04,0.003,192
br03_096.json,84.35,0.005,205
br03_097.json,82.20,0.003,184
br03_098.json,77.99,0.002,153
br03_099.json,85.80,0.001,142
br03_100.json,89.32,0.002,164
br04_001.json,71.64,0.001,141
br04_002.json,83.43,0.001,153
br04_003.json,83.17,0.002,165
br04_004.json,82.72,0.004,188
br04_005.json,83.42,0.002,161
br04_006.json,81.39,0.002,164
br04_007.json,81.83,0.002,167
br04_008.json,82.16,0.001,142
br04_009.json,75.50,0.002,175
br04_010.json,84.06,0.002,164
br04_011.json,80.34,0.001,155
br04_012.json,82.56,0.001,147
br04_013.json,82.61,0.003,188
br04_014.json,86.60,0.001,141
br04_015.json,80.74,0.001,138
br04_016.json,81.09,0.002,167
br04_017.json,83.96,0.001,131
br04_018.json,82.06,0.001,120
br04_019.json,82.76,0.002,168
br04_020.json,84.77,0.002,168
br04_021.json,81.81,0.001,146
br04_022.json,89.28,0.001,145
br04_023.json,85.44,0.001,136
br04_024.json,79.80,0.002,166
br04_025.json,74.74,0.002,164
br04_026.json,75.22,0.002,180
br04_027.json,87.46,0.001,150
br04_028.json,84.22,0.004,193
br04_029.json,82.97,0.002,156
br04_030.json,86.18,0.003,176
br04_031.json,76.48,0.002,172
br04_032.json,76.84,0.003,179
br04_033.json,88.91,0.002,163
br04_034.json,83.02,0.002,166
br04_035.json,81.00,0.003,176
br04_036.json,84.24,0.002,163
br04_037.json,85.87,0.002,166
br04_038.json,76.57,0.018,148
br04_039.json,84.55,0.038,227
br04_040.json,79.08,0.042,139
br04_041.json,84.68,0.018,146
